,text
206,@bot68164037 @edeityan @lXl_yamato_lXl @oyj2621eltsac @katuodayo1 @sakiaoi11 @LikedReply @pcXjG5Z12T21vMU @pxAw5ZAJ0URhZxO @XGEOhpuuR3AWzvT @bike_buell @LioMagestick @KitabatakeA @castle1262jyo @V0Ch0xvHRBls1d4 @mizuchn311 @lancersjp そうですね、普通のおじさんが買収されてるくらいなら大丈夫ですね。 可能性として低いですが、一番ヤバイのはその調査班のトップの人間が買収されてたり、調査班の中にスパイが混じってたりする場合ですかね。その場合だとせっかくの証拠が抹消されたりしてあやふやにされる可能性出て来ますから。
214,@NtbyFt3EykHTomk ストーカーでは ありません( •̀  •́ゞ)ﾋﾞｼｯ!!
219,【定期】@ kurusu_second　のキャス爆撃垢です
231,@m0k07 どちらも阿鼻叫喚の世界だった😂 増築してください笑
234,@hidekmrym 本当ですね。 教えていただいてありがとうございます。 扶桑町の火事で大口町もサイレンを鳴らされると、時間帯によっては迷惑ですね。
240,@SLOT_madokaa 地震すごく怖いですよね！ 自然災害は自分じゃどうにもならないから逃げるしか！ 夜中ですと逃げるのも難しそうですけどorz
256,@Hiromi19611  ザ・プリンスパークタワー東京と ホテルニューオータニを借り上げて 武漢から避難した人達収容すれば良いのに❗合わせて10億円掛かっても 国民1億人で割れば10円なり❗隔離するのに千葉勝浦 埼玉 はぁ😞💨❔  ケチって火炎ビンの安倍さんらしいやね(笑)。
261,@Maekana160409 可愛さが殺人鬼レベル←?
269,@kyokorenryu1111 「サンゴ汚したK・Yってだれだ」でお馴染みの捏造新聞ですからね。目撃者の証言が欲しいです。
270,@yakou180 僕は夜香さんのそういう「単なるお喋りクソオタクじゃなく相手の手札に応じたターンができるレシーブ力に長じた爆弾魔ですよ」みたいな隙あらばねじこむオタク感好きですよ。オススメになかなかなびかないですけどね。ワハハ。
276,@daitojimari 中国、新型ウイルス対策に使用可能な米輸入品の関税免除へ  https://t.co/N88xwredY9  @afpbbcom から  中国、米産マスクなど報復関税の対象外に  https://t.co/yX1vO1mCR0  @SankeiBiz_jp から
277,【絶体絶命都市2】殺人鬼が災害から逃げ惑うカオスゲー【にじさんじ/月ノ美兎】 https://t.co/Pn0P4e06FY @YouTubeさんから
284,@sinsimo 初リプ失礼します。 私がバリ島に行った時は窃盗が多いからショルダーバッグを前にして守れるようにと言われましたが、実際どうなのでしょう？用心に越したことはないと思われます！
294,@panda___suta ねぇほんとに？もう嬉しいでしかない、マスクしてるからまだマシだけどとったら顔面崩壊
295,【ポケモン剣盾】作業用BGM 「戦闘 ホップ (ジムリーグ)」一時間耐久【ポケモンソードシールド】 https://t.co/EDr9PyfpKY @YouTubeさんから
304,@Rimu_purikone まあ、、、騒乱狂乱大波乱のクラバトでしたからね...www  どこのクランもボロボロと引退者でてますね...
307,@EhZF5ECn5wQDifH もうすぐ飛べるよ(墜落)
308,@813kuzuha 救急車と担架用意して欲しいしハンちゃんの時も嬉しすぎたからラーメン奢らせて欲しい…
309,@IzutaniM エアバック持っていたいても雪崩は一瞬のことなので作動しなくて埋没して亡くなった方もいらっしゃいます。 ビーコンは埋没時に救助の時間短縮と埋没ヵ所特定に最も重要ですし、何よりお互いの命を預けてるって意義とBC入るルールじゃないですかね。ビーコン必須でエアバッグはオプションみたいな。
318,@dankanemitsu まぁ患者が沢山いる現状から見て ニホンもそー思われるのわ 致し方ない やるべきことわ清浄化を目指すこと あとレッテルを貼るほーも 何故そのレッテルを貼ったのかの基準を詳らかにすることが大事 てないと永劫にそーなる
323,@fushimiqote 猫ちゃんの爆発尻尾って可愛いですよね！ 公のローブから、ボワッとした尻尾が覗いていたら可愛すぎます😂💕 友達以上、恋人未満のような仲良しな関係大好きです✨✨
325,@10thJuly8 日替わりが致命的ですよね...💦 松田さんのテンションは以前と同じなのに上手く捌ける人がいないから空回って見えちゃうんですよね😂
327,@shiba_456 ひゃぁぁぁぁあありがちょ😭💕 血まみれだけど愛してやってくれ…🔪💕
339,@amehstew 決め台詞がロッド片手に振り向いて「お大事に」ってヤツだったけど、婦長が血まみれのゴム手もしくはペッパーボックピストル持って頬に返り血つけながら「お大事に……」までは脳内補完余裕だったわ。
342,@MAX_BEN_P ですね…  姉妹でも長女は動物大好きだけど、 一歩引いてるんですよ… 生きていくのには、その方がラクなのかも…  次女には、災害時にも動物1番で‼️と言われてます😅 猫×3 🐦🐧の避難がムリだったら、母は家の中で…例え家が崖崩れになっても …ですね😬
343,@xiongdaaa @shiburuna そもそも共産主義の国に行きたくないので避難もしたくない。わたしは。
353,@fil1219_com アズレンは中価格ぐらいの端末でも負担やばすぎてモノによっては熱暴走からの端末落ちやらかすからねー
356,@kivantium 大麻もエッチも手に入らない
358,@saratyan1212 タチ悪すぎねぇか？？？？www 爆弾置かれて遅刻とかやだー
362,@konoshirosawara めっちゃ後ろ大惨事ですやん
369,@AutcEAh0dOUnPJP 本当に死に対しての恐怖を消して いなくなりたい…
376,@sini__official そうそう((( 本人から謝罪されたらしい((( そしてなんかその人のffとかがブロック外して上げてくださいとかいってるけどえっなってな
392,@chan_Mari0330 @mitsunooto @nosukeppisz 痴女2人と目撃者2人の企画モノ😃
397,@HIGEDWARF ありがとうございます😢 でもなんか昨日めっちゃ巻き込んだりとか無駄に巻き込まれたりとか くだらんミスばっかでほんと申し訳なくて…  なんかもうあの条件だと落雷のパターン把握しとくとか ちっちゃな隙間時間にも攻撃差し込むとか そこまでやれないと厳しいのかなとか思っちゃいました😭
400,@pobacpobac 人間にしか発症しない感染病があったとして、代替実験が出来ない文明レベルなら人体実験しか無いですやん。 あの世界なら技術的ブレイクスルーの為にもより深いとこから持って帰らなきゃならん訳で、 解剖学の発展に墓荒らし等がついて回ったのと同じだが、それはそれとして肉電球とかはクッソ悪趣味。
403,@kazegusa 知識がないので流れてきた情報を劣化コピーして殴る
406,【絶体絶命都市2】殺人鬼が災害から逃げ惑うカオスゲー【にじさんじ/月ノ美兎】 https://t.co/AbuVkp7lwt @YouTubeさんから
412,@tohko_ore 玄関開けたら暴走トラック！
414,コラ😡 アップハン@ハーレー カーブ曲がりきれらんのやったらスピード落とせや 反対車線まで出てきやがって バイク同士の正面衝突なんてイメージ悪いやろ ホンマ死ぬかと思ったわ😱
416,米兵の負傷者64人に、イランによる在イラク基地攻撃 https://t.co/KkyshRoxBB @afpbbcomさんから
421,〔安倍総理の思惑〕新型コロナウイルス肺炎を逆用して憲法改正・緊急事態条項を新設 #安倍総理 #憲法改正 #新型肺炎 #コロナウイルス #ラキ家の人々 https://t.co/1UFuMU4pAR @YouTubeさんから
423,乙武嫌いやから、宮坂やっぱり嫌いになった( •́ㅿ•̀ )  乙武洋匡氏、宮迫博之の謝罪動画に涙「わざわざ低評価」に疑問も (マイナビニュース) - LINE NEWS https://t.co/olzAIt1PEH #linenews @news_line_meより
433,@shinji15174064 さっきお昼食べたばっかなのに飯テロしないでぇ(｡&gt;﹏&lt;｡)💦  あぁお腹空いた(›´ω`‹ )🌀
434,@reddeadworf 血液の検査も終了しました。 血液中源石密度、0.13u/L 臓器に多数の陰影を確認。 鉱石病患者と同じような症状が多々見られます。
435,@nibuutalkSENTAI 殴るよ。
439,@Wn22nPEAugIGcaL いえいえ(^^) うちは、術後食べすぎって言われました笑笑 おおお‼︎凄すぎです( ；∀；) 自転車通勤‼︎飛ばしすぎないようにして下さいね？うちの友人のママが車と正面衝突事故を、去年起こしましたから… あ、うちは在宅なんで大丈夫ですよ👌 あ、すいませんw様々な方とやり取りしててつい…苦笑
441,@jewel_moon07 ww ご近所さんは未だ知らない、震源地が神谷道場とはww 震源の深さは15cmぐらいかな？？←←
443,@TSUGUMI71844296 おやありつぐみん！！！ 今日は何故か警察官になって飛び回る夢だった！
449,@hrskksrh あなた方が選挙に行っても現政党を駆逐できないなら、残念ながらそういう事です。 大多数の日本国民はあなた方とは異なる意見を持ってるって結果です。それを貴方たちの信念やらで騒乱を起こされるのは迷惑と考える国民もいるって事です。
459,@3g81j0as66QSS3E 検索から失礼致します。 当方2月分22番(ローテンション)所持しております。 爆弾との交換可能でしょうか？ご検討お願い致します。
462,@maico_polo 貯金が減るというのはどういう現象でしょう？  横領とか？(^_^;
464,@Gx1yuuka 血液型以外がほぼ一緒っていうww
472,@Koh_say_Hello え？！？！こうせいさん陥没乳首でしたっけ？！？！？！？！？！？！
473,@KAZUMI97199413 @Jm33t8MkLcgmGP2 @aiko33151709 @YuzukiMuroi 同等と書かれてあったとしても、緊急事態に対処し得ないとなったら、政令が優先されます。 そもそも、法律すら守らない安倍政権が、そんな事を気にする訳がないでしょう。
483,@hyakutanaoki @ko2419225325 上念氏が関東大震災朝鮮人虐殺などを心配しているとも思えないが、なぜ、そこまで、大げさに言うなと強調したがるのだろうか。インフルエンザとちがって、まるで免疫がないかも知れないのだから、警戒したほうがいいのではないか。
486,@fff_naegi 人質めっちゃおもろいでw
490,@ttg_NN 最後は正面衝突でやられるの定期
491,@Kuromaru9_R7 ドクターは強くなりましたねー 前までは索敵が簡単とは言ってたけどその実狂気が上がるタイミングとかは選べず運要素も多かったですが、今は狙ったタイミング狙った場所に生存者がいるかどうか簡単にわかるようになったし、色んなパークとの相性もいいのでかなりつぉぃ
496,@MACHA_ha_46 毎月2日、22日の14:22〜24までの2分間です😂 1ヶ月でたった4分しか開催されない開眼… でも難易度はネコだけでもクリア出来るので戦闘開始出来ればクリアの特殊な開眼なんです。
499,@RioFgoac1125 ギルは虐殺
500,『安倍自民党が新型肺炎の不手際対応を「憲法に緊急事態条項があれば」と改憲にスリカエ！玉川徹は「問題』 ⇒ https://t.co/xoyZxGzncb #アメブロ @ameba_officialさんから
501,@sunabkr　そして、顔中血まみれのまま、学生とか同僚とか事務の人とか、その場に同席してた人に「ああ、…分からないかな、説明してあげよう」って優しく笑って「いいかい、世界は例えば欠けて爛れた珊瑚の上の卵みたいなものなんだよ、それに至る豆電球が僕たちだ、無数の…無数の！」とか言う
505,@Forever227007 地震、台風、豪雨 自然災害は仕方ないけど 嫌ですね。
509,@myll__6 （# K学園事件簿　で検索したら……見れます………）（ギリギリッ）
513,@__meru2 だよねカートから抹消するわ https://t.co/T5dGeJlGv2
516,@Murcott44 イオルブ先生の抜き打ち持ち物検査おもしろいです！
517,@Gs_YY_rail なぜイナズマイレブンの吹雪が登場?笑笑
520,@kendyvista 謝罪の流儀見ました。相談員であれば避けては通れませんしね。
521,@no_ma_chan 私も血液型しなければ 3人とも同じなので 血液型いれるのとどっちがいいのか よくわからないです😂
526,@bumibumiaho おはなまるです💮 飛び込みが大事故に…😅
537,@NiniLovesGreeny 可以 但我們發現其實斥警繡伊沒有那麼雷他人也很好
543,@paruchan48 @flowerori201803 📺️等で😷売り切れ！あおるから買い占めが続出してる！昨年の台風の時のパン、ラーメンみたいに高齢者が買い漁った様子（数日前目撃した）
547,@_______xyx1 大事なお兄さんなので叩きません！！！笑 「綺麗なのはわかりますけど……あっ！京哉さんも怪我を放置したらだめですよ…？！」って心配し始める李織はいますね……🙏 性癖逆めっちゃ良……世良島くんにすきな人ができたら手当てしないでおくね😘❤️(??)
554,@ryochi_tuma03 お尻爆弾投下！😍  あ、おかえりなさい😘
567,@azhi_2 ありがとうございます！！！！！！ガチャも回しました✌️今のところもう殴るしかないなと！！！！☺️✌️
572,@mokkou2019 海が収まったと思ったら火災とは...😱
577,@tonomyu あかん…めっちゃ嬉しいっ‼️  その後吹雪と☃️でてんやわんやになった❄️
580,@maya_asahina マルチでもガチ鬼で優しく出来なくって『ごめんね。』って思ってる ジョゼフに対しても『ごめんね！許して！ジョゼフ！』って言ってる 板あてとかに 『あっ イライ君みっけ！』って言いながらの殴る人( ˊᵕˋ ;) 会員になってないよ 普通にGoogleで調べた。 わかる？ めっちゃまとめる癖があるの
588,@sakurider_ltd 先程下ルートで再チャレンジしましたが、LV130超えの長波様が一発大破くらいました💦 どうにも安定しませんねえ…(´・ω・｀)
591,@kanaria_usss 地獄すぎるｗｗ避難訓練は校庭まででしょ！？なんで山に・・・ｗ 機敏さ欲しい・・・反復横跳びしよ？？  あんな感じだけどこれからも感想送りまくるわ・・・！なんとか理解して・・・ｗ 恋に落ちる音がした？？？？
593,#DrMasaruEmoto #神農 #大麻 #苴麻 #AboveTheIgnorance #FederallyLegalizeMarijuana #USPatent6630507 #RickSimpson #RSO #MedicalMarijuana #THC #CBD #CBN #CBG #Terps #Cannabis #RunFromTheCure #CannabisCommunity @realDonaldTrump @POTUS @WhiteHouse #MakeAmericaHempAgain #HempForVictory https://t.co/OcphnnimDB
594,@AbsoluteZ_ebi これhttps://t.co/JfH0WyANjb  ↑みたいに戦闘BGMの歌詞にも意味深な事が書いてあったりして、そこから今までのボスの印象がガラリと変わったりしますからね～
603,@WR250XxLEAD 横領
616,@Shintomei238JPN 誤認もそうですね。落雷の振動を地震のP派と捉えてしまいとんでもない誤報をぶちまけたこともありましたから。あとはP波を拾ってはじめて速報を出すので震源に近い所は警報より先に大揺れが来てしまいます。  ↓落雷による誤報 警報発表約3秒後にS波未観測により誤報と判断され取り消されました。 https://t.co/UscPyBRzmZ
617,@TRPG_TL 爆発した
621,@hkdtt698_d それは致命的ダメージだからにゃぁ(´・ω・｀)
624,@QF6vsHVmeRlVnac 消防の方々がついておりますよ😉
625,【定期】@ kurusu_second　のキャス爆撃垢です
629,@livedoornews 本当のサイレンを鳴らされそうやね。
634,コロナウイルス震源地武漢から命がけで上げた動画 「和訳」 https://t.co/y5CHi0ER5c @YouTubeさんから
639,@yuthe246 外からすみません…！ ヤビツ峠から宮ヶ瀬には抜けられないのでご注意を！　裏ヤビツが去年の台風で土砂崩れで今も通行止めです！
641,@aranotti あの場合のゼロワン側の最適解は 「そうですか、それは失礼しました。ではそちらの窃盗に関する点も含めて警察の捜査結果を待ちましょう」ですな。 そもそもあのやり取りが名誉毀損にあたるか、といえば間違いなくノーなので。
642,@Akemicky1 @meganeblackcat @miyachan_888 日本人の中でも「村八分」意識というものがあると思います。戦時中の非国民意識とか（−＿−；  近い所では、福島から他の地へ避難して来た子供さんに「原発が感染る」と言って死に追い詰めた人々もいます。同じ日本人です💧 何人であっても、きちんとした意識の方とそうでない方がいるのだと感じます
643,新型コロナウイルス震源地の武漢は命がけ..日本でまだ知られてないヤバイ理由とは.. https://t.co/bsYLAw7xQG @YouTubeより
649,@omofoi 大惨事www
663,@Tetsuo_Hiraga 近くにいるほど届かない 安心するほど広がらない テリトリーで自撮りかますより 喉にいいのは龍角散  エッジが鋭角すぎて、２１グラムの魂から、出血しました♭
664,@Machi62553244 私は太陽くんも好きだった、、あれ私の自担どこ？😅😅 確かにあいつ爆弾ぽいwwwwwwやっぱパリピポくんがダントツでかわいかたよ(&gt;_&lt;) もう「さすが濵ちゃん」使えない域だろwwwwwwピッタマスク花粉以外防げないらしいからみんな普通のマスクつけて🥺🥺🥺
672,@Rionkun__ やだストーカー!!!?
676,@Akaza_Starlight ダイマしなくても上から雪崩でワンチャン狙えるし
680,@gooodsleep @TAKENE_MITU 大惨事
684,@Kaoru_9021 @sharenewsjapan1 『ウイルスはアルコールでは消毒出来ない』ツイート炎上… はすみとしこさんが釈明「皆さんのことなめてた」  「確かにひどい内容だったが、これを対岸の火事とは思わず、自分が誤報を流さないように注意しましょう。」 と、考えた方がよいですね。
686,@yoshilog 例えば大規模災害なんかあると、テレビなんかで特定団体への寄付を集る こっちは安易に人のお金に頼ってるって言わないで、なんで直接個人への応援は疑問に思うの？ しかも、共感した人だけが賛同してねって話だし
687,@Yuthanol んね、血液療法で全部治りマース！みたいな 生活習慣に気を使わなくなった未来、みんな欲望に忠実になりそ
695,@i_ho0317 かなり大きかったっすなぁ、地震 おかげで部屋のフィギュアとWiiのセンサーバーが崩落しました😂
696,"@agohigehime69 追記  新型コロナウィルス自体怖くなかったとしても、1番怖いのは感染力が強く爆発的に沢山の感染者に症状が現れて、病院で診てもらえない事だと思います。(今は検査もできない その間に更に感染拡大、治療を受けれない人は悪化,最悪死亡者が出たり..。中国での状況からしても引き続き危機感は必要かと"
700,@MotiMoti_cospho めっちゃあるwwwwwwいやいや事故率やばいからwwwwww99パーセント大事故よ(^ q^)
701,@Osamumaru_ 血液採取するの下手くそな看護師に当たるとほんと地獄だよな、、、ﾖｼﾖｼ(｡´･ω･)ﾉﾞ
703,@9q1rLDxa6kzmNWC ジャンプ禁止看板(笑)いかん！昼飯ニンニクラーメン食って匂いテロだが、横には若い女性がぁぁ変なオジサンどころか臭いオジサンに思われそなきがする😢⤵️⤵️
718,@otibana こっちの気持ちを代弁してくれるテニラビ優しすぎか！！？ たぶん今回のSSRはみんな血まみれ！
724,@udonday894 路上で酔いつぶれてる女とか正直男でもろくなもんじゃないし近づかないほうが良い  警察を呼ぶのが正解
728,@nekomalu_3577 ずっと何もツイートせんかったけぇ心配してたよー💦 私ストーカーかもしれん👀笑
738,@asaoat 奴は 「悪いけど」と文頭につければ、謝罪だと思ってましたよ 全然心こもってないし、悪そうに感じないです  所詮、悪いと思ってないんですよね
742,@bloodst4inchild ガチ大破で草
745,新型肺炎、新規感染は湖北省に集中する傾向＝同省以外では減少―WHO https://t.co/snhGfIxCtv @recordchinaさんから
746,@nihonsyuski 落ちたら大事故につながるので リフォーム屋さん手配中です😣
750,@Pterow 震源地から離れた場所が揺れてますね。 https://t.co/FCBgluLTTx
755,@PirobuRock @bultraman アメリカで大麻合法化を住民投票で過半数を超えてるから合法化してるわけですがそう言う人たちも含めて説得力ないですか？あなたの言ってる事って大麻吸う奴は結局事件起こすって言ってるように聞こえますね😅 そうなると自分からしたら大麻吸わないのに人殺したり事故起こしたりする方が異常です。
759,@tkurokawa31 @sugi_moira ええ　あれは以前山一証券問題で企業では大問題になった「飛ばし」そのもの、公金で首相がやった以上「業務上横領]
764,@mai__choo 歩けるようになると予期せぬことばかりです(◞‸◟；) ワーファリン飲んでた頃にコンクリートの壁に頭から突っ込んでって出血した時はアカンかも…と思いましたねw
767,@faye_quest 直接電話で私が話したことを今後も伝えておくようお願いしたと言うことでお名前出させてもらいます。同じことがあれば対応して頂けないということで警察に相談させてもらいますと、やさーしくお願いしておきました(笑)
775,@katsuyatakasu 煽ってる、楽観するなとかはあっても 日本は暴力沙汰にはならない。 これは大きな違いだよなあ。。。
776,@O612M_  ももこ先輩たちのぼる。  （消防士かな？）
782,@houseki1111 あとこれは何度も言ってるけど私は光亨を楽に死なせるつもりはない 骨肉の争いの末に血まみれのドロドロで目をかっぴらいたまま死なせる
788,@yuuegax5 アカペラとかやったことないからいきなり音外したりして大惨事になりそうw
791,【謝罪】おジャ魔女どれみ様、申し訳ありませんでした https://t.co/k8Dn0KYx9V @YouTubeより
792,@Txxx_Ng まじで切っとくのおすすめwあれあっていい事ないやろw土砂崩れとか大雨でも来るよあれ
796,フォトセッション番外編  @ds2617  てげイケテル装備のどげんかせんといかん金使いの荒い相方  @F_AOI_Y  おでこ負傷中のアームズマガジンの表紙にそろそろなりそうな堕天使黒いさん  @zxr_is ゴリラ  #BLKFOX #photsession #サバゲー #RADAMMO #bakewall https://t.co/d1zhfdMY4M
798,@giwh9 負傷していなくてなによりです。 良く目にする衝突がスキーヤーの年配の方が前方30度くらいしか見ていなくて45度くらいでヒールターンしているスノーボーダーに気づかずそのまま接触とかが多いんで今回もおそらくそんな感じの衝突だったんじゃないでしょうか(；＾ω＾)
814,@eclipse5s 確かにありえます  一番可能性が高いのは  Ａ    最初の５０年(高度経済成長期) は上手くいってるが  ５０年経過(バブル崩壊など)で崩れ始め  １００年で崩落する(ゲームオーバー)
817,@pinkbluegreen5 @riot_and_demo なんか緊急事態条項と関係ないですね、想像力と機転の問題かと。
818,@arashi_no_oniwa 病院に返還せんでいいからwww とりあえずイラッとして限界来たら自分の部屋に避難だ←  小さい犬持った図がキモイなら、でっかい犬を持たせとけ←重くて傷口開く
819,@LilyS_VRC 刀で爆発した部分斬るね。
825,@Dsan_game 雷のフィールドでは自分も電気タイプを使えばいいことを覚えました(๑•̀ㅂ•́)و✧  #確かにストーリー進めたいっ
